"strains.ID_strains","strains.Culture collection no.","strains.Species","strains.Strain Designation","strains_tax_PNU.Species","strains_tax_PNU.Full Scientific Name (LPSN)","strains_tax_PNU.ID_reference","strains_taxid.tax_id","strains_taxid.tax_level","culture_temp.Temperature","culture_temp.ID_reference","culture_pH.pH","culture_pH.ID_reference","met_antibiogram_v2.Incubation temperature [°C]","met_antibiogram_v2.Oxygen condition","met_antibiogram_v2.ID_reference","oxygen_tolerance.Oxygen tolerance","oxygen_tolerance.ID_reference","nutrition_type.Nutrition type","nutrition_type.ID_reference","sequence_genomes.INSDC accession","sequence_genomes.BV-BRC accession","sequence_genomes.IMG accession","sequence_genomes.ID_reference","GC_content.GC-content","GC_content.ID_reference","Zc"
132478,"DSM 29592, JCM 30920","Abyssivirga alkaniphila","L81","Vallitalea guaymasensis","Vallitalea guaymasensis Lakhal et al. 2013",20215,1675854,"species",28.5,43989,7.6,43989,NA,NA,NA,"obligate anaerobe",43989,"chemoorganoheterotroph",43989,"GCA_003313305",1185412.3,2887388934,66792,31.7,24267,-0.194674
2853,"DSM 19732, NBRC 101661, EBR 45","Acetivibrio clariflavus","EBR-02E-0045","Acetivibrio clariflavus","Acetivibrio clariflavus (Shiratori et al. 2009) Tindall 2019",20215,288965,"species",55,8129,7,29002,NA,NA,NA,"anaerobe",8129,"chemoorganotroph",25435,"GCA_000237085",720554.3,2507262051,66792,36.9,8129,-0.194413
17779,"DSM 22491, ATCC BAA-1850","Acetomicrobium hydrogeniformans","OS1","Acetomicrobium hydrogeniformans","Acetomicrobium hydrogeniformans (Maune and Tanner 2012) Ben Hania et al. 2016",20215,592015,"strain",55,16360,7.5,29890,NA,NA,NA,"anaerobe",16360,"chemoorganotroph",43698,"GCA_000160455",592015.2,647000209,124043,46.6,16360,-0.196354
17777,"DSM 13181, ATCC BAA-54, JCM 12221","Acetomicrobium mobile","NGA","Acetomicrobium mobile","Acetomicrobium mobile (Menes and Muxí 2002) Ben Hania et al. 2016",20215,97477,"species",55,4960,7.05,43422,NA,NA,NA,"anaerobe",4960,"chemoorganotroph",43422,"GCA_000266925",891968.3,2509601011,66792,51.5,4960,-0.197739
17778,"DSM 13490, ACM 5076","Acetomicrobium thermoterrenum","RWcit2","Acetomicrobium thermoterrenum","Acetomicrobium thermoterrenum (Rees et al. 1997) Ben Hania et al. 2016",20215,1120986,"species",50,5065,7.05,43698,NA,NA,NA,"anaerobe",5065,"chemoorganotroph",43698,"GCA_016125955",2544872.3,NA,66792,44,5065,-0.188872
166226,"CGMCC 1.16069, KCTC 62275","Acidibrevibacterium fodinaquatile","G45-3","Acidibrevibacterium fodinaquatile","Acidibrevibacterium fodinaquatile Muhadesi et al. 2019",20215,1969806,"species",32.5,68197,3.75,68197,NA,NA,NA,"obligate aerobe",68197,"chemoorganotroph",68197,"GCA_003352165",1969806.3,2841042143,68197,65.9,68197,-0.147692
6149,"DSM 14174, JCM 32253","Acidihalobacter aeolianus","V6","Acidihalobacter aeolianus","Acidihalobacter aeolianus Khaleque et al. 2019",20215,2792603,"species",35,5241,2.25,67866,NA,NA,NA,"aerobe",67866,"chemolithoautotroph",67866,"GCA_001753165",160660.9,2718218021,66792,62.2,67866,-0.137394
24820,"DSM 14175, JCM 32254","Acidihalobacter ferrooxydans","V8","Acidihalobacter ferrooxydans","Acidihalobacter ferrooxydans Khaleque et al. 2019",20215,1765967,"species",35,5242,2,67866,NA,NA,NA,"aerobe",67866,"chemolithoautotroph",67866,"GCA_001975725",1765967.4,2751185721,66792,61.6,5242,-0.143501
26,"DSM 2389, ATCC 33463, JCM 21277, IAM 14719, IFO 14242, NBRC 14242, NCIMB 11690","Acidiphilium cryptum","Lhet2","Acidiphilium cryptum","Acidiphilium cryptum Harrison 1981",20215,524,"species",47,23239,3.9,23239,NA,NA,NA,"aerobe",23239,"heterotroph",23239,"",NA,NA,NA,69.8,23239,NA
82,"DSM 21000, VKM B-2487","Acidisoma sibiricum","TPB606","Acidisoma sibiricum","Acidisoma sibiricum Belova et al. 2009",20215,512383,"species",20,9076,5.65,22964,NA,NA,NA,"obligate aerobe",22964,"chemoorganotroph",22964,"",NA,NA,NA,60.5,9076,NA
